review,label
"卡卡真他媽的衰,一直被絆倒.偷打,即使是好好先生也是會抓狂的啦!可以把卡卡還給我嗎??眼瞎的蠢裁判...",生气
"保留研究！貧僧是不行的了......不死心的施主们,儘管試吧......",困惑
这个很有爱电脑主机箱里的迷你客厅。,好奇
"施华洛世奇的。像不？推荐的不错,是很好看,就是我手太细,总感觉会掉出来...",好奇
大脑劳累过度，氧气供给不足，人常出现头胀、思维下降，如张开嘴打哈欠，就等于进行了深呼吸，这有助于促进脑细胞重新活跃起来，打哈欠后再施以头部按摩，效果会更佳。原文,生气
某导就是传说中的自恋。你滴明白？你们觉得这两首歌你们有听过么，不觉得好听吗？---对此我缄默，你可以的，真的可以的，也只有你问的出口，真的！！！,挑衅
《囡囡》让我长了见识，原来现在香港90后十来岁这代的女孩子性开放已经到了这个地步，相比起艳照门事件，这些援交女们更加不懂得保护自己！杯具啊！！……幸好我没有女儿，否则，我会非常担心的！！这世界到底是怎么了？！难道这就是所谓的潮流吗？那还是别跟上潮流的好！,不满
军训终于结束了。。。。。,开心
回复貌似羡煞不少MM啊~~又2016我疯了给A及A以下的妹子们果真是秘方妇女之友秘方。。。这个。。。。。中央十台《健康之路——其实我是纯爷们儿》正在播出，德州男人郭庆波长了一对大波波，之前重庆有个叫李刚的，也是这样的情况，纠其原因，原来是因为秃顶，用了别人的偏方，用避孕药洗头，结果头发是长出来了，但咪咪却一下变大了。,开心
敦促？还以为当场了呢。没看错，就是一群畜生儿副县长和警察叉腰阻救人》,生气
回复呵呵，能怎样呢？在心中道声怀念。或许相见不如怀念……被遗忘的角落，偶尔想起，来看看，是否一切安好？应也悄无声息地变化，或许物是人非，或许都已不再。-读书笔记,思考
很好看~~~）,赞扬
回复姐姐你好靓啊！美艳不可方物轉發微博。继续@林心如,崇拜
超屌中国队出场了，伴随的背景音乐是周杰伦的《霍元甲》！太搞了~~~,激动
。很经典，很给力！,赞同
定期思考，回到内心,思考
"男的行吗,考虑下吧有谁要要租房的没有，跟合住一个房间。房租两人平摊，房子还没找到。位置在立水桥附近或者5号线附近。PS只限女性，要求善良。另外9李是个美女哦！！",疑问
辛普森太太的杯具....【动态图】,伤心
做一个假肚子。(来自:)刚怀孕，孕吐反应比较大，可是自己比较瘦，肚子又不大，每次乘坐公交的时候既没有人让座，自己也不好意思请人家让座，担心别人不相信自己，有什么好的方法呢？-快乐爹娘群-亲子俱乐部,无助
我琴晚真系好听话感去吃药.于是我今朝起身烧得重犀利过琴晚..,生气
这男的...眼神好妖吖..我的天..叫啥名字赶快报上！！本人喜歡二号男主角了~~他的眼神好帥呀,崇拜
还差一泡尿孙悟空的小jj没有交代清楚……。这图好山寨，好牛掰，好冷！,挑衅
现在的天黑的晚了，都7点多了还没黑天呢，是不是夏天要来了?,期待
中国政府硬了,不满
任何事的几率都是5050，不管是坐在宝马车里，还是坐在自行车后，哭笑的几率都是5050，谁说坐在自行车后一定就是笑？如果是这种概率的话，还有谁要坐自行车吗？~,疑问
哈哈，挺好玩的吼吼，分享有礼啦，我们将再抽取30名网友，赠送水蜜桃面膜，盒装的哦，一起参与这疯狂的4D面膜秀吧。里面有个人我猜出来了哈哈我觉得跳的还不是特别风骚应该来个肚皮舞可以续集不错的员工活动今后谁跳的好送一大盒面膜大家报名了我们的PM最近很疯为了证明我们家的双耳挂4D面膜超服贴不脫落，整天在公司追著同事跑，逼大家做一些稀奇古怪的测试首批被害者视频曝光。好笑你就转，笑翻你就+评论，呵呵，反正我差点笑趴下，因为我同桌也在里面。,激动
为什么是假结婚呢？我第一次给人当伴娘，是朋友的姐姐假结婚……做戏做全套，所以，我这个伴娘也是假的……很搞笑，这种经历也挺不容易,困惑
我表示鸭梨很大新的一代啊╮(╯▽╰)╭太有压力了~00后聚会太有压力了我们都……,困惑
我庚唱的真棒~昨天呼唤，今天出来了！(⊙o⊙)！[龙猫胖子]100803.鲁豫有约.给陌生人的情书高清自拍,激动
亲爱的杰伦24号晚上后天24号晚上7点半就要播杰伦录制的《天天向上》了，好期待！！！大家后天晚上一定要锁定湖南卫视哦，不要错过了！！！现在发一小段杰伦在《天天向上》的吉他秀，大家先过过瘾，更多精彩，后天才能揭晓哦,期待
怎么又编排上了……哇哈哈~特别感谢文字设计=。=~李总你快出来结束我们的蘑菇期吧~对手指碎碎念ing,好奇
我能说都很难看吗？……三体3封面设计初稿完成，请朋友们多提意见，并在左、中、右中做出选择。,不满
整个造型、用色都很生动，看着心情真好哈哈哈猴王给力！支持的展览，wuko版weakid曝光～,赞同
太可爱啦！某人月餅粽子傻傻分不清楚~~明天見~~,崇拜
"完了完了,今天晚上注定要为了小十三心痛了....焚心以火他本是牧羊儿，他本是无根草",伤心
CAO，真恶心重庆。《重庆晚报》的这个标题，真是“非常来劲”。淫民，才看得懂，呵呵。（图片转自腾讯微博@邢航）,不满
杭州~~！！！允许我嚎一声~~啊啊啊找到暑假青旅实习工啦哦也哦也！！！！！,激动
好有力量这组照片是法国摄影师AlainDelorme最新的系列作品——“图腾”。这些照片拍摄于2009至2010年的上海。受到移民的影响，Delorme拍摄了大量“中国制造”的产品的照片，这些产品以非常规的、具有符号象征性的形式堆砌起来。,好奇
好强大！一定要收藏！好吧，在网速和优酷审核的双重鸭梨下视频终于传完了，包括13首歌和结尾颁奖的部分。视频信息我标的很明显，想看哪段就点它！点它！！以下是踢不烂全场的专辑链接地址，等我这碗冷饭的那两位可以去围观鸟~,激动
人生无常。孩子一路走好。珍重眼前人。“女儿，爸爸再为你编一次辫子”救援人员将遇难的8岁女孩韩璇从5米多深的淤泥中挖出，其父亲韩如栋用清水将女儿清洗干净后，又为女儿最后一次编辫子。女儿一路走好!,感激
看看这歌名真牛！！,赞同
恭喜曬西區~~~明天跟STAR很多朋友节日聚会很多很久没见了很期待要跟你们每人喝一杯下周正式进组亚组委负责记录些这次盛会的影像画面估计时间也忙的随机不固定了各位明天见电话联系：）,期待
昨日在东京泡温泉，女子浴室里，见一个初中大的男孩，大概至少有140cm多高，跟在母亲后面，赤条条地走动。我很气愤，旁边所有的女人都无动于衷。我从温泉中跳起来，马上向有关人员反映，男孩被叫了出去。奇怪男孩的母亲，如此之为，实在不解。他们规定小学2年级一下的男孩是允许进女浴室的！,不满
回复得俞赏识，得天下！卓越兄的卓越之处【你们看？】曼德拉的缺阵，令非洲球队少了精神支柱。以愚之见，此乃非洲球队整体表现不济之理由。这些球队缺乏强有力的声援，从而缺乏主宰命运的自信，实际上它们并不缺技术。,赞同
炸个毛线啊炸！新开个饭店了不起啊？吵吵了一天了！！！！！！！428。。。祝你饭店早点4！！！！,不满
同感......想喝杯小酒再泡澡，突然想起酒櫃搬到爹媽家了……杯具啊,惊讶
我参赛了...希望可以通过!我要继续玩下去!#动感地带佛山电台DJ新秀大赛2010#海选结束，百强选手即将诞生！这两天将会有电话通知百强选手参与11月7号的终极海选，敬请保持手机畅通。晋级复赛的选手将会轮番上节目《俊情一点》、《老友鬼鬼》以及《金牌杰青》，亲身体验在电台直播室做DJ的感觉。详情请留意,期待
回到上学时，发现自己原来还系个小朋友咋,好奇
《钓悟》太公直垂悬，八百周江山；一时贪念起，立刻盘中鲜。---莪程诚邀：的友友们以及所有有情趣的朋友们来钓鱼呀！,期待
真的好想去參訪中天和八大喔,期待
额…怎么感觉苗子比陈翔还要重呢？苗子很重的，陈翔抱起来有点吃力哦！陈翔哥哥再抱一下,崇拜
太可爱了今晚的饭后甜点是...,开心
誰那麼壞拍的！——：还有谁能比我强！,崇拜
羡慕这些皮肤好的人猜猜我在做什么?,崇拜
最爱怡姐！谢谢提供视频和相片的朋友~阿怡的頭髮開始長了！谢谢怡，哈哈哈哈[20080813]下载地址：,赞扬
现在脑袋都连在一起了，一割一大片，搞不好连自己的脑袋也要掉下去，谁敢动手啊能火～信主席，得永生这张图可以火,挑衅
两次门柱成就国奥绝杀，前80分钟都不知道踢嘛球！,激动
哈哈，我就系一个典范噶狮子女~~~第二名狮子座，好像全天下的人都敌不过他的雄才大略，只能被他踩在脚下，一生坐着听命于狮子或服侍狮子的工作。狮子如坦克战车般的强大自信，让他习惯于大言不惭、浮夸不愧，就算有人在一旁好心提醒他适可而止，也会被他当成是因嫉妒而可以挑剔的小人，根本就是一个活在自我世界里的人。,骄傲
心疼啊！！！爱你好不容易上午休息、一觉儿Low到中午、洗洗涮涮又要出发了.,伤心
彷彿又看到剛出道的丞琳棒^^绝对素颜照真的是个卡爱佳人呢,崇拜
想好了下班前一定要把展板搞好~~没想到居然听到一句：弄了噶好看做啥？“和你别苗头呀！！！”一下子无语。。。。。。,无语
网编网编。“我是搜狐的网络编辑，我是累死的，你们呢？”第二个接着说，“哎，我是网易的网络编辑，我是饿死的。”第三个不说话，前两个就问他：“喂，兄弟，你是怎么死的？”那个骷髅哭丧着脸说：“我是新浪的网络编辑，不过，我还活着……”,开心
清肠日直播继续~~本人于下午干掉十粒脆枣、一把瓜子，半个火龙果以及比我脑袋还大的芒果半个老爸刚搬回来的两盒梨，休息一下，待会儿继续！,开心
10月7日大规模上新，敬请关注：veroniquer.taobao.com,期待
"儿纸瓦只想对乃说一句:乃是明星了,乃是明星了.自重点好吗?自重点好吗?别乱得瑟,别乱臭屁各种嫌弃",挑衅
俺看比赛的时候确实有关注他哦，看着他跑了第二，可惜镜头一直没给他个正脸，都不知道他长啥样史东鹏又被冬日娜欺负了。via@辽沈晚报海涛V,激动
精辟！老汉“一个简单的LOGO需要一个设计师，一栋三十层高楼或一新款汽车需要一群设计师，设计一个国家的未来需要多少设计师？你看咱们这三十年就靠一个设计师，而且过世了十三年。。。改革已经迷失了方向，摸着石头过河只是摸到个砖头，就是房地产！”听后俺无语！,困惑
以心传心，上学不是学知识，学的是悟性。妙不可言！,思考
预祝朋友们中秋快乐！支持！新蛋网“世博”之旅，万元大奖等你来拿！参与就有奖，一个都不少成为的粉丝，并评论此消息，并且@五个以上的好友。我们将在所有者中抽取几名幸运者赠送超值神秘奖品。详情见,期待
『每日一笑』一辈子所需要的证件，你有几个了？准生证→出生证→独生证→身份证→学生证→团员证→党员证→学位证→毕业证→暂住证→结婚证→房产证→驾驶证→行驶证→健康证→工作证→医保证→下岗证→失业证→上岗证→资格证→荣誉证→通行证→退休证→老人证→死亡证,疑问
哲理！【你把所有东西都看透了，别人就看不透你了！】1、成熟的人不问过去；聪明的人不问现在；豁达的人不问未来。2、知道看人背后的是君子；知道背后看人的是小人。3、你犯错误时，等别人都来了再骂你的是敌人，等别人都走了骂你的是朋友。4、人们是看你做什么，不是听你说什么。,思考
"帮忙、寻兔寻兔启示！兔姐已经两天无踪迹。体貌特征：很帅，打扮前卫时尚，常年不分季节穿各种潮衣，偶尔鬼马搞怪，偶尔谦逊低调，喜欢丑猴子蒙奇奇，见人常SAYHELLO,语调轻佻起伏分明，于3日开通围脖发了3条郁氏反问句后不知所踪，拿着爱疯不会围脖，建议当场用手机测试一下。如有发现者请尽快联系郁小唯控",期待
找房子什么的，最讨厌了......最讨厌了........,不满
其实他们曾相亲相爱。,伤心
信不信由你可信吗。在中国，上网的人有80%的人不知道有墙的存在；有80%的人只是为了玩游戏；有98%的人有QQ号；有80%的人不知道SNS为何物；有90%的人不知Twitter、Facebook、Youtobe…,疑问
"舒坦我这车上如此气派和超标的办公空间,在国内还不得够个准副局级标准?",骄傲
现在去看chinaJoy的，有多少是奔着游戏去的呢。。。。,好奇
哈哈转一个呗老子不发威你当我HelloKitty？,挑衅
真的有很多明星出没啊==今晚，比利时顶级巧克力品牌GODIVA歌帝梵在新天地旗舰店盛大开幕，开幕式上林志玲小姐亲临现场，与在场的各位嘉宾共同开启一段“传世品质极致醇香”之旅。图为林志玲和GODIVA高级巧克力大师Mr.DavidFunaro共同展示以新天地石库门为创作灵感的巧克力之作,开心
P的真可爱★秋天到了，给大家送上一件大毛衣，很创意很可爱的哦！你会喜欢吗？,赞扬
咔咔~看看能否为爸爸争取一件！不过很难！七匹狼中秋送“服”！9月7日起，关注博，+评论此信息并楼...7777777楼将获得一件价值399元七匹狼名士着装的多彩长T恤！只要止并统计，以@统计评论为准！,期待
又多一个新名词了~！继“躲猫猫”，“洗澡死”之后，再多一个“喝水死”...以后还会有更多更多的“进去死”，一进局子就死~！【喝水死】又一重大发明！因涉嫌盗窃，2月18日，河南鲁山县一名叫王亚辉的男青年被公安机关带走，3天后其亲属被告知，王亚辉已在看守所内死亡。亲属查看尸体后发现，他身上有多处伤痕。对此，当地警方解释，犯罪嫌疑人是在提审时喝开水突然发病死亡的。,不满
回复香车、美女、金钱，够物质的很实用的创意据说是拥有奔驰，你就会被大波包围。一直没弄明白的汽车广告，高人指点。,好奇
休閒的曉琪姐～大馬來的狗仔....,困惑
度娘这次啊！！！百度地图惊现保钓人士！！！！,激动
我也想要和某人绝交了···好吧。。绝交。,伤心
太美了！我家的.我认领.是的，很完美啊谁家丫头？今天看到超级美女，太美了！,赞同
【微笑的十个理由】1、微笑使我们有魅力；2、微笑能改变我们心情；3、微笑会传染；4、微笑减轻压力；5、微笑可以增强免疫系统；6、微笑能降低血压；7、微笑能生成内啡肽、天然的镇痛物质和复合胺；8、微笑可以美容，让人看起来更年轻；9、微笑让人看上去是成功人士；10、微笑可以帮助人保持乐观积极。,赞同
一般般嘛!布兰妮比基尼秀身材和男友水中嬉戏尺度大：,开心
回复杯具了回复你7次违规了说的只转6次！取消资格了6次以上，7次了。。。88得宝网让你的万圣节有礼又有趣在10月27日至11月7日期间，成为88得宝网粉丝并将此微博六次就有机会获得88得宝送出的礼品，让你度过一个奇趣好玩的万圣节。我们将随机送出ipad一台，爱国者MP5三台及50元电话充值卡30张。还不赶快呼朋唤友来参加我们的活动！中奖名单将于11月15日公布。,激动
"脖友中的小妈们,回去翻翻吧帮转，谢谢！青藏地理环境太恶劣。",感激
长城哈弗龙腾战车出征2011年达喀尔拉力赛发布会活动，现场片花。来自优酷。见证中国力量-长城哈弗SUV再战达喀尔周勇领衔出征@长城汽车@达喀尔何旭东@廖岷@王少峰778@俞小西xixi,期待
欢迎孙总没有QQ，没有视频聊过天，没有玩过网游，没有上过开心网，没有网上购过物；曾买过苹果的MP3，因不会用束之高阁。用现在的流行语我彻底的OUT了。世界上唯一不变的是变化，我要做适当的改变，适应这个网络和电子的世界，接触微博就是个很好的开始。,期待
女人，你是90后思维方式。。。鉴定完毕原来我的事业麻麻都是因为这个原因啊…,思考
思想控制从娃娃抓起。40年前的数学课本,困惑
我系广州仔！支持支持:各位，《广州仔》既伴奏有得下载啦！！GOGOGO，下载&唱起来！广州仔~~~！【伴奏下载】《广州仔》是送给所有广州仔女的礼物，首度公开伴奏，与你们分享！演唱，作词，作曲编曲。希望有这么一天，在这片我们热爱的广州土地上，我们来一次大合唱。你地系咪广州仔先？下载地址,激动
我的海鲜啊……,好奇
太好了!!!片花已出，很棒（micky说让我们耐心等，很快能看到）；宣传发行已进入筹备期；小爷要拍到这个月底最后杀青,激动
回复开心就好其实这还是近段继联合军演后的一个政治石块，它在试试中国的底线，而后的事儿估计还会进一步的丫头是个乐观者，说说吧。我们是中华人民共和国公民。我们对日本政府无理拘留我同胞、扣押我渔船、强占我国神圣领土钓鱼岛的野蛮侵略行径表示强烈抗议和极大愤慨！强烈要求日本政府立即无条件释放我被拘同胞、被扣渔船，立即退出钓鱼岛及相关海域！我们将保留进一步行动的权利。中华人民共和国新浪微博网民！,生气
有如此丰厚的补偿，“张晶晶很满足的笑了”。这“金钱”、“权力”真的“威力”惊人......我们希望看到什么呢?河大凭什么可以保送她呢，这不是乱法是什么呢。校长可以杀了。,生气
。。墨西哥的守门员请你醒过来,崇拜
回复好爱吃葵花籽，可是吃了会口干。好罪恶啊！这还是我吃瓜子这么多年来第一次被扎。。难道是因为我白天麻将摸了三次炸弹，人品成了负值么。。乃可以明天再吃嘛我也是这么想的。。可是没馍吃瓜子，疑似一小片瓜子皮卡在嗓子里了，镜子加手电加棉签，搞来搞去还是看不见在哪里，更是弄不出来。痛苦啊。,困惑
"感谢参与对""童年旧事""的抒情回忆，现揭晓获奖名单(三)，礼物将尽快寄送给你们：再次感谢这43位博友的积极参与以及所分享的温馨片段",感激
发现我的360和QQ还是很和谐的噢！,赞同
力宏哭了！！！！,激动
你么，那么可爱。。。。。。。希望一切都顺顺利利的！！,赞同
"。为死者哀悼,为生者祈福.过去只能让它过去,生活还是要继续...每一次的生离与死别都让我们更加珍惜手中拥有的和活着的美好....",伤心
大妞说昨儿去看《唐山大地震》了，刚才特意提醒我别买爆米花，说那氛围不适合吃东西。她昨儿揣了个老玉米进去，临快散场才抽空吃咯，“幸亏我那老玉米嫩，吹口琴似的，两下就给啃了。”,开心
我靠最后一句成功虐到我。。特所以说那个传闻是真的么..我突然想起我们的演唱会..在海外的时候每一次特哥都会在开始之前把我们叫一起喊加油的时候也说一句“这是我们最后一次演唱会了.....”结果说的太多次之后..成员就问他..“哥你老说是最后一次..到底什么时候是个头啊..”结果利特哥说“到我死之前为止..”,感激
阿凡达鸟表情超享受的～阿凡达~,开心
转啦中间这本书我们学过志愿者制服的真相！！！毛邓三情何以堪...,激动
9月还剩下14个交易日~好好把握~,期待
这书是唐骏在西太平洋大学的博士同学凤姐向他致敬的姐妹篇。,好奇
作为用电大户，终于轮到我地宿舍要购电了。。家下物价上涨，乜嘢都贵，点钱一下就无晒！穷啊！,不满
受不了啦...怎么了可以...这么萌!东哥。。。。。。@钟汉良,激动
哥说这是他第一次开合家欢先还扭捏的不愿意给我说怕我会想多了我是那么自作多情的人？都说过了我知道Ta不爱我。。。,伤心
啊？胶泥哥，这是在北京买的那辆自行车吗？很久没享受和家人一起北京高温于是就有了在家里多呆几天的借口多希望可以继续这样无忧无虑的生活,期待
回复那个520应是个正宗的GG，俺们是个大爷们你是女的吗人生的舞台，演出妆？就要和你说再见了……亲爱的头发和指甲,挑衅
人生总是杯具连连,伤心
什么时候有的看呀？意大利，一定要胜利~~就看你们的了~！可惜的是这个网速看不了直播，要疯了！只能守着围脖了~~呜呜,期待
说的不错这边是坚信枪杆子里面出政权，那边是公-民自-由持枪以实现权力制衡、保障民主自由能落到实处。,赞同
腾讯太嚣张了，这世道没有什么是不能替代的。成了唯一，就开始要挟人，反感。如果发现版友混过猫扑，将禁止其ID一年。,不满
这个假期在家的最后一天好好玩吧明天和爸爸妈妈出发北京旅行啦,期待
作孽！参与这件事情的每一个人都不得好死，祝愿你们早日下地狱！【人贩子们，你们这些畜生！难道你们就没有父母吗？】好可爱的小孩子，可惜被拐走了。希望他不只是记得爸爸妈妈的名字，更能早一点回到爸爸妈妈的身边，大家吧，没有这么多为什么？。,伤心
坟蛋！！劳资喜欢黑色！为什么？我超喜欢蓝绿色的说【十二星座最需忌讳的颜色】白羊座（红色、白色）；金牛座（绿色）；双子座（黄色）；巨蟹座（紫色）；狮子座（金色）；处女座（白色）；天秤座（粉红色、黑色）；天蝎座（深蓝色）；射手座（苹果色、橘色）；摩羯座（黑色、深蓝色）；水瓶座（淡蓝色、蓝绿色）；双鱼座（紫色、绿色）；,好奇
抢楼活动结束，感谢各位参与。查看统计地址为系统工具，不占用楼层。不重复数据如下，恭喜（第1楼）（第100楼）（第200楼）（第300楼）（第400楼）。请私信地址给我参与方式：点击成为的粉丝，三个以上好友，并评论此条信息的第1楼、100楼、200楼、300楼、400楼....以此类推，不设上限，分别获得多啦A梦伸缩耳机一个。以00@统计评论,期待
打倒房產列強違反自然規律！18米宽的河道被挤占成5米CTM这帮狗日的...【云南马龙县城遭淹被指因房产项目挤占河道所致】云南马龙县6月25日晚遭特大暴雨袭击，穿城而过的横山河全线漫坝，县城被淹。据知情人士透露，县城此前从未被淹，而这次大雨前20天，横山河下游安厦房地产小区开始在河边填土施工，原本18米宽的河道被挤占成5米，造成河堤漫坝。,生气
这才是正确的性教育方法！“旅行结婚是什么意思?”妈妈说：“就是男女刚结婚的时候一起出去度假。”男孩：“那你和爸爸带我去了么？”妈妈：“带啦，去的时候你跟爸爸在一起，回来的时候你跟妈妈在一起。”（via@guangzhui）——这回答，有水平！,开心
恩，我们的百变wallace。,赞同
谁要是游戏人生，他就一事无成；谁不能主宰自己，永远是一个奴隶。,困惑
所以是人都会犯错误。不像机器，设定好的程序不会跑偏，人犯错误，大半是该用真情时太过动脑筋，而在该用脑筋时又太感情用事。（via@wink91new）,思考
回复是啊，我明明是男流氓的。我距离女流氓的范儿，还有一定的距离，目前还在努力追赶中，根本不敢枉担虚名~~~！给你多少广告费啊，这么帮我广播。我真是佩服人家咋这么明智呢我呼吁白蛇团对你圣战到底！！！娘的，把我安排在四大女流氓之首，你让其他女流氓情何以堪！！！,挑衅
应了那句话了，男人靠得住....南开大学的女生毕业照。真厉害，我就爬不上了~~,崇拜
原来这里跟巴黎一样，也有漂亮的水晶灯（南京金鹰酒店）,赞同
"对对对,我有看杂志,笑死了第三张，名叫先救妈妈+快男军训，我彻底倒了，咋会这么有爱，这么滴可爱",开心
"我也低低调调地转一下^^低调转过来…我能不转么能不转么?[转]潮汕女人勤劳刻苦会持家，任劳任怨温柔娴淑，朴实善良孝敬公婆，相夫教子贤惠能干，潮汕女人，太纯了，纯得就像那加林山的矿泉水一样，没有一点杂质！她们给男人带来如此多的好处，以至于男人不得不念及她的好。潮汕女人，也许是天底下最适合做好男人之老婆的女人！女朋友,找潮汕女生绝对没错！",崇拜
好少女啊-ARASHI,崇拜
表示这图俺也当过桌面~当过一段时间的桌面啊。。。这张图！！！！太有赶脚了！！关于爱，关于隐忍，关于执着。你知道去哪，全世界都会为你让路。,崇拜
嗯，真是太流氓了这个世界太流氓了,不满
小黑一周年。,开心
催人熱淚的愛情故事！感人的故事一个恭城娃追平乐妹，从大学就开始追，为了感动平乐妹，他在两县交界处种了一个心形树，谁知那个妹仔还是没跟他，那个娃就一直在那个心型下面等到妹仔哪天会回心转意，最后郁郁而终。,伤心
爱情像什么？一壶茶，先浓后淡！一杯酒，先醉后醒！一朵花，盛开凋谢！还是......不会有一直保持不变的滋味！我们经历了盛开的过程，也就享受了幸福！心也是快乐的！才是我们该有的生活，要有的经历！----爱情滋味,赞同
转转，一定转，好好关注，天天向上爱国者逍遥鼠，2个。参与方式：成为的粉丝，并此条信息。将从的艺龙旅行网粉丝中随机抽取2位，分别赠送爱国者逍遥鼠一个。获奖名单于11月2日18:00公布。顺便预告一下，本周大奖是ipad哦~,期待
超准faint认真选择。,期待
"sandwich.......""（这个比较干，自己还是觉得米罗的好吃点）",中性
哎，失手添，两条裤都买大左，又要寄返去换了，甘又无左20鸡了。,不满
那腿。。。。超赞！！！妈呀！女人你好看死了！那腿,赞同
恩。这个很搞笑分享图片凡事都得付出代价的,开心
"god~楊奇煜,要去擦藥這是太久沒練琴的後果.....",困惑
共fei呢同问，共军呢？共军呢？2004年3月24日上午6时26分，7名中国民间保钓志愿者成功登上了钓鱼岛。这7人是冯锦华、张立昆、尹东明、胡显峰、王喜强、方卫强、殷敏洪。他们在岛上树立了国旗并与登岛的日本保安厅（黑衣者）当面抗争，最后全部安全撤退回到厦门。前进和撤退经过台湾海域时，国军海军鸣笛、喊话致敬并护航。,崇拜
这对我很有用咯(来自:)当你极度气愤、恼火的时候，请记住给自己一分钟的时间冷静下来，思考清楚再说话，人往往因为头脑发热做出让自己后悔不已的事，要不就是失去风度和气量。很多时候并不必回头去看咒骂你的人是谁？如果有一条疯狗咬你一口，难道你也要趴下去反咬它一口吗？冷酷不削的眼神是最好的回击！,生气
［高兴］锅不用解释了。。。我们都懂的。。。那是因为。。我的眼里只有你。。。,开心
本名的二次元形象是個子很高穿著幼稚?重点是腹黑正太,好奇
歡迎小豬～耶～～～～,开心
看完《驯龙记》，很喜欢没牙~呵呵-电影X档案,开心
近日，广州一名女童因误吞弯针被家人送往医院治疗，3天后弯针经大便排出。医院开具的检查清单多达217项，包括梅毒、艾滋病、类风湿等，费用达3366.30元。医院称多项检验系为保证医生安全及为手术做准备。,惊讶
最会偷心的人却被偷了心了!偷来了，然后呢？,崇拜
琴晚3点半几先训.点知训唔着.搞到落去先训得着.,困惑
大哥。打个乒乓球，至少么。。,期待
要死了，又出来going人。2010-08Hito8月大台柱-王力宏整点报时（早上7点）,不满
"腾讯又系衰D嘅..搞埋晒D霸权主义..只顾企业利益,对用户不闻不问..睇完拉.讲出我地心里话支持360~~轉發微博。腾讯欲置360于死地必须得反抗，这封信写的太牛逼了，不涉及对错，单评这信，QQ的公关团队可以解散了，马化腾可以撞墙磕脑袋了。",不满
